State,lat,lng
FL,27.9658533,-82.8001025
FL,30.3321838,-81.6556509
CO,38.8339578,-104.8253484
TX,32.5631924,-97.1416767
AZ,35.2216745,-114.2175542
RI,41.456191,-71.5394737
SC,33.9815369,-81.2362106
TN,36.3134398,-82.3534727
KS,39.059726,-94.8835753
AZ,32.2217422,-110.9264758
FL,27.9491217,-82.3546171
CA,33.0369867,-117.2919817
PA,39.9523993,-75.1635898
NH,42.7653662,-71.4675659
MN,44.9504037,-93.1015025
MO,38.789217,-90.3226139
OH,39.8868227,-83.3937232
LA,31.2521279,-93.3412794
CO,39.6311085,-105.1100581
NH,42.7653662,-71.4675659
PA,40.6102386,-80.2677259
IN,39.7855096,-85.7681978
AZ,34.5402813,-112.4695072
ID,43.4935245,-112.0400918
TX,29.675779,-95.40215851
